"Year","Month","Day","Latitude","Longitude","Measurement","Unit","Density.Range","Density.Class"
"2005","02","16",24.52,-148.47,0,"pieces/m3","0-0.0005","Very Low"
"2005","10","30",32.35,-155.1,0,"pieces/m3","0-0.0005","Very Low"
"2005","03","03",19.96,-146.64,0.00216,"pieces/m3","0.0005-0.005","Low"
"2009","07","03",29.771,-162.6273,1.033613,"pieces/m3","1-10","High"
"2009","02","18",24.03,-138.44,0,"pieces/m3","0-0.0005","Very Low"
"2008","07","11",28.41,-140.21,0,"pieces/m3","0-0.0005","Very Low"
"2011","12","11",32.76,-150.21,0,"pieces/m3","0-0.0005","Very Low"
"2012","07","02",19.43,-145.47,0.254948,"pieces/m3","0.005-1","Medium"
"2008","05","27",20.15,-147.77,0,"pieces/m3","0-0.0005","Very Low"
"2006","05","19",25.68,-143.09,0,"pieces/m3","0-0.0005","Very Low"
"2011","02","27",26.14,-143.12,0,"pieces/m3","0-0.0005","Very Low"
"2009","04","26",33.35,-150.87,0,"pieces/m3","0-0.0005","Very Low"
"2004","07","23",32.84,-147.81,0,"pieces/m3","0-0.0005","Very Low"
"2007","10","30",19.24,-143.41,0,"pieces/m3","0-0.0005","Very Low"
"2011","06","05",23.52,-141.63,0,"pieces/m3","0-0.0005","Very Low"
"2012","02","20",21.42,-142.07,0,"pieces/m3","0-0.0005","Very Low"
"2005","11","14",28.54,-140.09,0,"pieces/m3","0-0.0005","Very Low"
"2004","12","31",29.98,-140,0,"pieces/m3","0-0.0005","Very Low"
"2009","09","18",32.005,-159.0086,4.480892,"pieces/m3","1-10","High"
"2009","10","17",32.37,-146.51,0,"pieces/m3","0-0.0005","Very Low"
"2004","04","20",19.95,-156.16,0,"pieces/m3","0-0.0005","Very Low"
"2006","10","23",16.13,-162,0.00648,"pieces/m3","0.005-1","Medium"
"2011","10","27",19.43,-145.47,0.00432,"pieces/m3","0.0005-0.005","Low"
"2012","02","09",25.94,-146.58,0.326132,"pieces/m3","0.005-1","Medium"
"2008","07","01",33.02,-152.9,0,"pieces/m3","0-0.0005","Very Low"
"2010","12","20",33.56,-152.27,0,"pieces/m3","0-0.0005","Very Low"
"2012","10","08",33.1,-156.49,0.086996,"pieces/m3","0.005-1","Medium"
"2005","05","15",32.84,-147.81,0,"pieces/m3","0-0.0005","Very Low"
"2009","03","04",20.6,-154.81,0,"pieces/m3","0-0.0005","Very Low"
"2006","08","21",20.35,-154.67,0,"pieces/m3","0-0.0005","Very Low"
"2005","02","12",24.28,-143.99,0.00216,"pieces/m3","0.0005-0.005","Low"
"2005","09","05",15.25,-157.55,0,"pieces/m3","0-0.0005","Very Low"
"2009","02","22",19.8,-143.03,0,"pieces/m3","0-0.0005","Very Low"
"2007","07","15",33.47,-151.63,0.00864,"pieces/m3","0.005-1","Medium"
"2008","07","06",31.54,-143.82,0,"pieces/m3","0-0.0005","Very Low"
"2009","11","29",20.14,-148.94,0,"pieces/m3","0-0.0005","Very Low"
"2009","11","05",22.11,-141.71,0,"pieces/m3","0-0.0005","Very Low"
"2009","06","21",24.6048,-146.387,0.028743,"pieces/m3","0.005-1","Medium"
"2007","07","25",29.37,-139.91,0,"pieces/m3","0-0.0005","Very Low"
"2003","10","26",28.72,-140.03,0,"pieces/m3","0-0.0005","Very Low"
"1973","02","14",29.983,-144.933,0.001,"pieces/m3","0.0005-0.005","Low"
"2005","03","11",15.25,-157.55,0,"pieces/m3","0-0.0005","Very Low"
"2010","10","24",19.51,-144.23,0,"pieces/m3","0-0.0005","Very Low"
"2005","07","23",20.61,-155,0,"pieces/m3","0-0.0005","Very Low"
"2012","10","25",22.76,-141.69,0.273452,"pieces/m3","0.005-1","Medium"
"2004","02","14",26.6,-142.77,0,"pieces/m3","0-0.0005","Very Low"
"2012","10","23",26.05,-141.2,8.075432,"pieces/m3","1-10","High"
"2004","01","20",28.72,-140.03,0.00432,"pieces/m3","0.0005-0.005","Low"
"2011","08","09",33.09,-156.27,0.00266,"pieces/m3","0.0005-0.005","Low"
"2006","12","13",33.08,-147.02,0,"pieces/m3","0-0.0005","Very Low"
"2007","03","14",19.24,-156.55,0,"pieces/m3","0-0.0005","Very Low"
"2008","11","02",20.6,-154.81,0,"pieces/m3","0-0.0005","Very Low"
"2008","12","10",33.02,-152.9,0,"pieces/m3","0-0.0005","Very Low"
"2010","07","17",33.26,-156.98,0,"pieces/m3","0-0.0005","Very Low"
"2004","10","17",26.6,-142.77,0,"pieces/m3","0-0.0005","Very Low"
"2012","06","25",26.05,-141.2,0,"pieces/m3","0-0.0005","Very Low"
"2004","04","22",16.28,-160.37,0.00432,"pieces/m3","0.0005-0.005","Low"
"2006","10","19",19.24,-156.55,0,"pieces/m3","0-0.0005","Very Low"
"2009","06","26",19.51,-144.23,0,"pieces/m3","0-0.0005","Very Low"
"2008","03","09",33.08,-147.02,0,"pieces/m3","0-0.0005","Very Low"
"2011","10","23",23.52,-141.63,0,"pieces/m3","0-0.0005","Very Low"
"2011","10","24",21.42,-142.07,0,"pieces/m3","0-0.0005","Very Low"
"2005","05","20",28.54,-140.09,0,"pieces/m3","0-0.0005","Very Low"
"2005","05","19",29.98,-140,0,"pieces/m3","0-0.0005","Very Low"
"2010","12","12",33.26,-156.98,0,"pieces/m3","0-0.0005","Very Low"
"2004","12","02",16.28,-160.37,0,"pieces/m3","0-0.0005","Very Low"
"2005","12","25",19.24,-156.55,0,"pieces/m3","0-0.0005","Very Low"
"2009","11","08",19.51,-144.23,0,"pieces/m3","0-0.0005","Very Low"
"2011","04","22",33.26,-156.98,0,"pieces/m3","0-0.0005","Very Low"
"2007","07","19",33.08,-147.02,0,"pieces/m3","0-0.0005","Very Low"
"2008","10","31",20.15,-147.77,0,"pieces/m3","0-0.0005","Very Low"
"2003","10","29",26.6,-142.77,0,"pieces/m3","0-0.0005","Very Low"
"1973","02","16",30.833,-136.933,0.06,"pieces/m3","0.005-1","Medium"
"2008","12","11",33.35,-150.87,0,"pieces/m3","0-0.0005","Very Low"
"2011","02","24",24.21,-149.32,0,"pieces/m3","0-0.0005","Very Low"
"2008","05","30",20.27,-156.47,0,"pieces/m3","0-0.0005","Very Low"
"2010","10","28",20.57,-154.86,0.0108,"pieces/m3","0.005-1","Medium"
"2007","09","26",31.5611,-152.6133,0.438661,"pieces/m3","0.005-1","Medium"
"2009","07","10",34.5922,-172.951,1.041967,"pieces/m3","1-10","High"
"2012","07","04",20.35,-154.67,0,"pieces/m3","0-0.0005","Very Low"
"2008","10","18",24.37,-147.78,0.892728,"pieces/m3","0.005-1","Medium"
"2005","12","08",25.94,-146.58,0.326132,"pieces/m3","0.005-1","Medium"
"2003","11","09",26.14,-143.12,0,"pieces/m3","0-0.0005","Very Low"
"2009","10","20",28.72,-140.03,0,"pieces/m3","0-0.0005","Very Low"
"2005","11","10",31.72,-144.77,0,"pieces/m3","0-0.0005","Very Low"
"2011","12","16",29.98,-140,0,"pieces/m3","0-0.0005","Very Low"
"2003","10","24",31.06,-143.46,0,"pieces/m3","0-0.0005","Very Low"
"2004","10","31",18.97,-143.47,0.0108,"pieces/m3","0.005-1","Medium"
"2009","06","01",22.11,-141.71,0,"pieces/m3","0-0.0005","Very Low"
"2012","04","29",32.84,-147.81,0,"pieces/m3","0-0.0005","Very Low"
"2008","03","10",31.54,-143.82,0,"pieces/m3","0-0.0005","Very Low"
"2011","03","26",19.73,-146.63,0,"pieces/m3","0-0.0005","Very Low"
"2003","02","11",20.94,-157.49,0.085536,"pieces/m3","0.005-1","Medium"
"2012","06","23",25.94,-146.58,0.020184,"pieces/m3","0.005-1","Medium"
"2008","05","14",25.69,-141.14,0,"pieces/m3","0-0.0005","Very Low"
"2011","04","25",33.56,-152.27,0,"pieces/m3","0-0.0005","Very Low"
"2010","06","04",16.36,-159.94,0.016196,"pieces/m3","0.005-1","Medium"
"2003","05","12",19.8,-156.16,0,"pieces/m3","0-0.0005","Very Low"
"2007","12","06",16.13,-162,0.00648,"pieces/m3","0.005-1","Medium"
"2004","02","20",22.99,-148.78,0,"pieces/m3","0-0.0005","Very Low"
"2011","05","27",22.99,-148.78,0,"pieces/m3","0-0.0005","Very Low"
"2006","05","22",23.35,-144.31,0,"pieces/m3","0-0.0005","Very Low"
"2004","07","17",32.76,-150.21,0,"pieces/m3","0-0.0005","Very Low"
"2006","12","07",33.47,-151.63,0.00864,"pieces/m3","0.005-1","Medium"
"2009","07","04",16.36,-159.94,0.016196,"pieces/m3","0.005-1","Medium"
"2003","12","02",19.95,-156.16,0.00864,"pieces/m3","0.005-1","Medium"
"2009","05","16",28.41,-140.21,0,"pieces/m3","0-0.0005","Very Low"
"2006","12","22",27.84,-140.77,0.0024,"pieces/m3","0.0005-0.005","Low"
"2003","12","23",32.76,-150.21,0,"pieces/m3","0-0.0005","Very Low"
"2006","04","15",33.47,-151.63,0.00864,"pieces/m3","0.005-1","Medium"
"2007","04","01",16.13,-162,0.00648,"pieces/m3","0.005-1","Medium"
"2005","12","20",19.96,-146.64,0.00216,"pieces/m3","0.0005-0.005","Low"
"2004","10","20",22.99,-148.78,0,"pieces/m3","0-0.0005","Very Low"
"2003","11","21",20.14,-148.94,0.00432,"pieces/m3","0.0005-0.005","Low"
"2007","02","16",23.35,-144.31,0,"pieces/m3","0-0.0005","Very Low"
"2004","11","03",19.96,-146.64,0.00216,"pieces/m3","0.0005-0.005","Low"
"2012","10","10",32.35,-155.1,0.01366,"pieces/m3","0.005-1","Medium"
"2010","10","04",32.37,-146.51,0,"pieces/m3","0-0.0005","Very Low"
"2007","03","02",21.15,-142.77,0,"pieces/m3","0-0.0005","Very Low"
"2009","11","01",26.14,-143.12,0,"pieces/m3","0-0.0005","Very Low"
"2008","04","04",28.41,-140.21,0,"pieces/m3","0-0.0005","Very Low"
"1972","10","01",31,-137,0.007,"pieces/m3","0.005-1","Medium"
"2011","02","06",32.37,-146.51,0,"pieces/m3","0-0.0005","Very Low"
"2012","10","27",19.43,-145.47,0.34034,"pieces/m3","0.005-1","Medium"
"2012","05","27",22.99,-148.78,0,"pieces/m3","0-0.0005","Very Low"
"2011","03","29",20.57,-154.86,0.0108,"pieces/m3","0.005-1","Medium"
"2007","10","28",21.15,-142.77,0,"pieces/m3","0-0.0005","Very Low"
"2010","10","17",26.14,-143.12,0,"pieces/m3","0-0.0005","Very Low"
"2005","12","11",24.73,-139.58,0,"pieces/m3","0-0.0005","Very Low"
"2003","11","12",23.52,-141.63,0.00432,"pieces/m3","0.0005-0.005","Low"
"2008","10","21",25.69,-141.14,0,"pieces/m3","0-0.0005","Very Low"
"2009","07","14",34.0135,-179.9885,0.453911,"pieces/m3","0.005-1","Medium"
"2004","04","06",18.97,-143.47,0,"pieces/m3","0-0.0005","Very Low"
"2011","12","12",32.84,-147.81,0,"pieces/m3","0-0.0005","Very Low"
"2012","02","28",20.35,-154.67,0,"pieces/m3","0-0.0005","Very Low"
"2006","07","14",21.15,-142.77,0,"pieces/m3","0-0.0005","Very Low"
"2004","03","29",26.14,-143.12,0.01728,"pieces/m3","0.005-1","Medium"
"2012","11","01",15.25,-157.55,0.481356,"pieces/m3","0.005-1","Medium"
"2003","10","21",32.76,-150.21,0,"pieces/m3","0-0.0005","Very Low"
"2008","01","30",32.8404,-170.0683,0.292834,"pieces/m3","0.005-1","Medium"
"2011","07","13",17.55,-158.31,0.011996,"pieces/m3","0.005-1","Medium"
"2007","02","24",24.73,-139.58,0,"pieces/m3","0-0.0005","Very Low"
"2007","08","09",23.35,-144.31,0,"pieces/m3","0-0.0005","Very Low"
"2012","01","03",26.6,-142.77,0,"pieces/m3","0-0.0005","Very Low"
"2010","10","07",28.72,-140.03,0,"pieces/m3","0-0.0005","Very Low"
"2005","02","27",18.97,-143.47,0.0108,"pieces/m3","0.005-1","Medium"
"2005","07","11",25.94,-146.58,0.326132,"pieces/m3","0.005-1","Medium"
"2012","10","18",27.84,-140.77,1.175804,"pieces/m3","1-10","High"
"2005","04","16",33.1,-156.49,0,"pieces/m3","0-0.0005","Very Low"
"2010","10","14",24.21,-149.32,0,"pieces/m3","0-0.0005","Very Low"
"2012","10","28",20.35,-154.67,1.1026,"pieces/m3","1-10","High"
"2008","07","14",24.59,-143.47,0.041396,"pieces/m3","0.005-1","Medium"
"2012","04","02",15.25,-157.55,0,"pieces/m3","0-0.0005","Very Low"
"2012","03","30",17.55,-158.31,0.011996,"pieces/m3","0.005-1","Medium"
"2011","05","13",28.72,-140.03,0,"pieces/m3","0-0.0005","Very Low"
"2004","05","25",33.09,-156.27,0.00266,"pieces/m3","0.0005-0.005","Low"
"2008","12","27",24.59,-143.47,0.041396,"pieces/m3","0.005-1","Medium"
"2011","05","16",26.6,-142.77,0,"pieces/m3","0-0.0005","Very Low"
"2011","11","18",15.25,-157.55,0,"pieces/m3","0-0.0005","Very Low"
"2011","11","03",17.55,-158.31,0.011996,"pieces/m3","0.005-1","Medium"
"2008","01","25",23.5707,-164.4812,0.013241,"pieces/m3","0.005-1","Medium"
"2009","05","25",24.21,-149.32,0,"pieces/m3","0-0.0005","Very Low"
"2003","12","20",33.09,-156.27,0,"pieces/m3","0-0.0005","Very Low"
"2009","05","19",24.59,-143.47,0.041396,"pieces/m3","0.005-1","Medium"
"2007","02","20",24.37,-147.78,0.892728,"pieces/m3","0.005-1","Medium"
"2011","10","14",26.6,-142.77,0,"pieces/m3","0-0.0005","Very Low"
"2002","03","18",16.29,-151.6,0.00432,"pieces/m3","0.0005-0.005","Low"
"2004","10","27",23.52,-141.63,0,"pieces/m3","0-0.0005","Very Low"
"2011","11","07",32.2027,-156.8332,0.352969,"pieces/m3","0.005-1","Medium"
"2009","10","24",24.59,-143.47,0.041396,"pieces/m3","0.005-1","Medium"
"2007","08","21",24.37,-147.78,0.892728,"pieces/m3","0.005-1","Medium"
"2012","05","15",29.98,-140,0,"pieces/m3","0-0.0005","Very Low"
"2003","08","18",33.09,-156.27,0,"pieces/m3","0-0.0005","Very Low"
"2012","10","30",19.24,-156.55,3.824844,"pieces/m3","1-10","High"
"2003","02","14",18.95,-156.27,0.0024,"pieces/m3","0.0005-0.005","Low"
"2005","07","13",24.73,-139.58,0,"pieces/m3","0-0.0005","Very Low"
"2008","05","11",24.37,-147.78,0.892728,"pieces/m3","0.005-1","Medium"
"2011","02","15",26.6,-142.77,0,"pieces/m3","0-0.0005","Very Low"
"2012","10","15",29.98,-140,0.646904,"pieces/m3","0.005-1","Medium"
"2005","07","18",19.43,-145.47,0.00432,"pieces/m3","0.0005-0.005","Low"
"2010","10","23",19.8,-143.03,0,"pieces/m3","0-0.0005","Very Low"
"2002","04","23",27.55,-177.03,0.05402,"pieces/m3","0.005-1","Medium"
"2011","10","06",32.84,-147.81,0,"pieces/m3","0-0.0005","Very Low"
"2006","12","17",31.54,-143.82,0,"pieces/m3","0-0.0005","Very Low"
"2012","10","24",24.73,-139.58,5.910272,"pieces/m3","1-10","High"
"2008","10","24",22.11,-141.71,0,"pieces/m3","0-0.0005","Very Low"
"2004","01","22",28.04,-140.48,0,"pieces/m3","0-0.0005","Very Low"
"2008","12","17",29.37,-139.91,0,"pieces/m3","0-0.0005","Very Low"
"2010","11","05",15.94,-162.49,0,"pieces/m3","0-0.0005","Very Low"
"2009","11","10",19.73,-146.63,0,"pieces/m3","0-0.0005","Very Low"
"2012","10","17",28.54,-140.09,0.081536,"pieces/m3","0.005-1","Medium"
"2007","07","17",33.1,-149.63,0.00216,"pieces/m3","0.0005-0.005","Low"
"2011","12","09",33.56,-152.27,0,"pieces/m3","0-0.0005","Very Low"
"2005","03","03",20.35,-154.67,0,"pieces/m3","0-0.0005","Very Low"
"2004","04","01",23.52,-141.63,0,"pieces/m3","0-0.0005","Very Low"
"2003","10","31",24.28,-143.99,0,"pieces/m3","0-0.0005","Very Low"
"2009","02","17",25.69,-141.14,0,"pieces/m3","0-0.0005","Very Low"
"2008","07","12",27.33,-142.18,0.003324,"pieces/m3","0.0005-0.005","Low"
"2006","10","20",16.88,-159.15,0,"pieces/m3","0-0.0005","Very Low"
"2004","04","21",17.55,-158.31,0.0024,"pieces/m3","0.0005-0.005","Low"
"2011","07","11",19.95,-156.16,0,"pieces/m3","0-0.0005","Very Low"
"2003","10","19",33.56,-152.27,0,"pieces/m3","0-0.0005","Very Low"
"2008","06","29",33.38,-156.38,0,"pieces/m3","0-0.0005","Very Low"
"2005","10","28",33.1,-156.49,0,"pieces/m3","0-0.0005","Very Low"
"2009","10","28",24.21,-149.32,0,"pieces/m3","0-0.0005","Very Low"
"2007","08","19",23.65,-149.74,0,"pieces/m3","0-0.0005","Very Low"
"2009","03","06",20.27,-156.47,0,"pieces/m3","0-0.0005","Very Low"
"2012","01","04",24.28,-143.99,0.00216,"pieces/m3","0.0005-0.005","Low"
"2005","02","17",25.94,-146.58,0.326132,"pieces/m3","0.005-1","Medium"
"2012","07","27",15.25,-157.55,0,"pieces/m3","0-0.0005","Very Low"
"2007","11","06",19.62,-146.5,0.00216,"pieces/m3","0.0005-0.005","Low"
"2004","12","25",31.72,-144.77,0,"pieces/m3","0-0.0005","Very Low"
"2005","11","30",27.84,-140.77,0.0024,"pieces/m3","0.0005-0.005","Low"
"2011","02","12",28.72,-140.03,0,"pieces/m3","0-0.0005","Very Low"
"2009","10","16",33.06,-148.13,0,"pieces/m3","0-0.0005","Very Low"
"2012","02","21",18.97,-143.47,0.0108,"pieces/m3","0.005-1","Medium"
"2003","07","09",29.94,-156.71,0.05788,"pieces/m3","0.005-1","Medium"
"2011","06","04",25.35,-141.11,0,"pieces/m3","0-0.0005","Very Low"
"2006","07","11",22.76,-141.69,0,"pieces/m3","0-0.0005","Very Low"
"2012","06","30",18.97,-143.47,0.017416,"pieces/m3","0.005-1","Medium"
"2004","08","03",31.72,-144.77,0,"pieces/m3","0-0.0005","Very Low"
"2011","03","02",25.35,-141.11,0,"pieces/m3","0-0.0005","Very Low"
"2006","05","18",27.84,-140.77,0.0024,"pieces/m3","0.0005-0.005","Low"
"2009","07","14",34.1563,-179.988,1.522606,"pieces/m3","1-10","High"
"2011","03","30",19.95,-156.16,0,"pieces/m3","0-0.0005","Very Low"
"2009","07","01",20.27,-156.47,0,"pieces/m3","0-0.0005","Very Low"
"2012","05","25",24.28,-143.99,0,"pieces/m3","0-0.0005","Very Low"
"2009","06","21",24.3578,-146.7665,0.354517,"pieces/m3","0.005-1","Medium"
"2004","10","23",25.94,-146.58,0.326132,"pieces/m3","0.005-1","Medium"
"2008","03","01",33.38,-156.38,0,"pieces/m3","0-0.0005","Very Low"
"2006","04","05",33.1,-156.49,0,"pieces/m3","0-0.0005","Very Low"
"2009","07","04",31.6068,-164.2543,1.159447,"pieces/m3","1-10","High"
"2009","03","09",16.36,-159.94,0.016196,"pieces/m3","0.005-1","Medium"
"2005","11","05",33.47,-151.63,0.00864,"pieces/m3","0.005-1","Medium"
"2008","02","03",33.7558,-162.7216,0.560793,"pieces/m3","0.005-1","Medium"
"2005","02","15",22.99,-148.78,0,"pieces/m3","0-0.0005","Very Low"
"2011","07","09",20.14,-148.94,0,"pieces/m3","0-0.0005","Very Low"
"2012","02","05",24.52,-148.47,0,"pieces/m3","0-0.0005","Very Low"
"2007","11","24",19.0051,-155.5729,0.617719,"pieces/m3","0.005-1","Medium"
"2008","06","03",16.13,-162,0.00648,"pieces/m3","0.005-1","Medium"
"2011","10","18",24.52,-148.47,0,"pieces/m3","0-0.0005","Very Low"
"2004","12","22",32.76,-150.21,0,"pieces/m3","0-0.0005","Very Low"
"2012","02","25",19.96,-146.64,0.00216,"pieces/m3","0.0005-0.005","Low"
"2005","07","08",22.99,-148.78,0,"pieces/m3","0-0.0005","Very Low"
"2010","10","26",19.73,-146.63,0,"pieces/m3","0-0.0005","Very Low"
"2005","07","20",20.35,-154.67,0,"pieces/m3","0-0.0005","Very Low"
"2004","02","17",24.28,-143.99,0,"pieces/m3","0-0.0005","Very Low"
"2012","10","22",25.94,-146.58,0.378224,"pieces/m3","0.005-1","Medium"
"2006","12","09",33.1,-149.63,0.00216,"pieces/m3","0.0005-0.005","Low"
"2011","08","20",33.56,-152.27,0,"pieces/m3","0-0.0005","Very Low"
"2009","11","06",19.8,-143.03,0,"pieces/m3","0-0.0005","Very Low"
"2009","02","20",22.11,-141.71,0,"pieces/m3","0-0.0005","Very Low"
"2003","10","27",28.04,-140.48,0,"pieces/m3","0-0.0005","Very Low"
"2008","07","08",29.37,-139.91,0,"pieces/m3","0-0.0005","Very Low"
"2007","07","22",31.54,-143.82,0,"pieces/m3","0-0.0005","Very Low"
"2007","03","05",19.62,-146.5,0.00216,"pieces/m3","0.0005-0.005","Low"
"2011","10","26",18.97,-143.47,0.0108,"pieces/m3","0.005-1","Medium"
"2005","05","17",31.72,-144.77,0,"pieces/m3","0-0.0005","Very Low"
"2011","10","22",25.35,-141.11,0,"pieces/m3","0-0.0005","Very Low"
"2005","05","31",27.84,-140.77,0.0024,"pieces/m3","0.0005-0.005","Low"
"2010","08","17",33.06,-148.13,0,"pieces/m3","0-0.0005","Very Low"
"2007","03","29",16.88,-159.15,0,"pieces/m3","0-0.0005","Very Low"
"2003","12","04",17.55,-158.31,0.049676,"pieces/m3","0.005-1","Medium"
"2008","11","03",20.27,-156.47,0,"pieces/m3","0-0.0005","Very Low"
"2008","12","08",33.38,-156.38,0,"pieces/m3","0-0.0005","Very Low"
"2009","09","19",33.1373,-159.246,0.725397,"pieces/m3","0.005-1","Medium"
"2005","03","08",17.55,-158.31,0.011996,"pieces/m3","0.005-1","Medium"
"2008","05","25",19.62,-146.5,0.00216,"pieces/m3","0.0005-0.005","Low"
"2008","05","28",20.6,-154.81,0,"pieces/m3","0-0.0005","Very Low"
"2009","04","18",33.02,-152.9,0,"pieces/m3","0-0.0005","Very Low"
"2009","04","27",33.06,-148.13,0,"pieces/m3","0-0.0005","Very Low"
"2011","03","08",21.42,-142.07,0,"pieces/m3","0-0.0005","Very Low"
"2006","05","12",29.98,-140,0,"pieces/m3","0-0.0005","Very Low"
"2004","12","03",15.25,-157.55,0,"pieces/m3","0-0.0005","Very Low"
"2006","02","12",16.88,-159.15,0,"pieces/m3","0-0.0005","Very Low"
"2011","04","24",33.09,-156.27,0.00266,"pieces/m3","0.0005-0.005","Low"
"2008","12","13",33.06,-148.13,0,"pieces/m3","0-0.0005","Very Low"
"2004","11","30",17.55,-158.31,0.011996,"pieces/m3","0.005-1","Medium"
"2008","10","30",19.62,-146.5,0.00216,"pieces/m3","0.0005-0.005","Low"
"2005","12","23",20.61,-155,0,"pieces/m3","0-0.0005","Very Low"
"1973","02","14",30.017,-145.033,0,"pieces/m3","0-0.0005","Very Low"
"2004","04","24",15.25,-157.55,0.0243,"pieces/m3","0.005-1","Medium"
"2008","07","02",33.35,-150.87,0,"pieces/m3","0-0.0005","Very Low"
"2008","03","06",33.1,-149.63,0.00216,"pieces/m3","0.0005-0.005","Low"
"2010","12","19",33.09,-156.27,0.00266,"pieces/m3","0.0005-0.005","Low"
"2009","06","27",19.73,-146.63,0,"pieces/m3","0-0.0005","Very Low"
"2006","10","14",20.61,-155,0,"pieces/m3","0-0.0005","Very Low"
"2009","03","02",20.15,-147.77,0,"pieces/m3","0-0.0005","Very Low"
"2009","09","13",31.1502,-159.979,3.090374,"pieces/m3","1-10","High"
"2003","07","06",23.43,-157.12,0.002096,"pieces/m3","0.0005-0.005","Low"
"2007","11","26",20.6,-154.81,0,"pieces/m3","0-0.0005","Very Low"
"2007","03","12",20.61,-155,0,"pieces/m3","0-0.0005","Very Low"
"2005","01","07",28.54,-140.09,0,"pieces/m3","0-0.0005","Very Low"
"2005","11","12",29.98,-140,0,"pieces/m3","0-0.0005","Very Low"
"2009","08","20",33.02,-152.9,0,"pieces/m3","0-0.0005","Very Low"
"2010","07","19",33.09,-156.27,0.00266,"pieces/m3","0.0005-0.005","Low"
"2012","06","26",24.73,-139.58,0.040724,"pieces/m3","0.005-1","Medium"
"2012","02","13",23.52,-141.63,0,"pieces/m3","0-0.0005","Very Low"
"2011","06","07",21.42,-142.07,0,"pieces/m3","0-0.0005","Very Low"
"2004","09","15",28.04,-140.48,0,"pieces/m3","0-0.0005","Very Low"
"2005","03","10",16.28,-160.37,0,"pieces/m3","0-0.0005","Very Low"
"2007","12","02",16.88,-159.15,0,"pieces/m3","0-0.0005","Very Low"
"2009","12","23",18.46,-157.58,0.0108,"pieces/m3","0.005-1","Medium"
"2006","05","25",23.65,-149.74,0,"pieces/m3","0-0.0005","Very Low"
"2004","05","30",33.56,-152.27,0,"pieces/m3","0-0.0005","Very Low"
"2009","04","15",33.38,-156.38,0,"pieces/m3","0-0.0005","Very Low"
"2006","12","03",32.35,-155.1,0,"pieces/m3","0-0.0005","Very Low"
